ID,Name,Reference,Category,Price,Description,Sector,Usage,Technical Sheet,Safety Sheet,Image 1
115,HERMETIZADOR HR,LG-CES-009,limpieza-general,36,Sellador en base solvente. Confiere repelente de líquidos y polvo.,Limpieza General,"Ceras, Emulsiones y Selladores",https://drive.google.com/file/d/1lz0uYWThL1INUfEhVGaX1GOsOPAozA5_/view?usp=drivesdk,https://drive.google.com/file/d/1XJrAakl-QVjhL2N2Rghp7R_remLDGPaf/view?usp=drivesdk,https://drive.google.com/thumbnail?id=1Z82zK-2tT_V-naR6CKQOZhQkua5J7yBV&sz=w1000
116,SX 600,LG-CES-010,limpieza-general,40,Hidroleorepelente inodoro (protección contra derrames). No contiene solventes volátiles.,Limpieza General,"Ceras, Emulsiones y Selladores",https://drive.google.com/file/d/1sTYM_CP3w_nexDM_MqLWKQ4JenRwxPgg/view?usp=drivesdk,https://drive.google.com/file/d/1tgVb3fSDvYkaviKjfTuY1oJN_kbJq7Ex/view?usp=drivesdk,https://drive.google.com/thumbnail?id=1Y1aQCq3MirvpPGOS6jX4bo7SXlmIliTA&sz=w1000
117,SX 500,LG-CES-011,limpieza-general,38,Hidroleorepelente (protección contra derrames). No altera el aspecto cromático.,Limpieza General,"Ceras, Emulsiones y Selladores",https://drive.google.com/file/d/1YNVJxRRmJS_A_xbE-F6JUISO7CCdBqeH/view?usp=drivesdk,https://drive.google.com/file/d/1m0WbT2uxqoAs-deB9QNLR7_3Pe6KhWnw/view?usp=drivesdk,https://drive.google.com/thumbnail?id=1jnsWOyWYC4WfFHQn6Kx7hbGTW6bffNqf&sz=w1000
118,BRIXOL MARINO,LG-MSB-001,limpieza-general,15,"Limpiador neutro marino. Bioalcoholes, Apto para Uso en Industria Alimentaria.",Limpieza General,Mantenimiento de Suelos (Gama Brixol),https://drive.google.com/file/d/14gsLSGSRsWH1WmjwzVyoWVKxXDCc0uNM/view?usp=drivesdk,https://drive.google.com/file/d/15meCmYOb9vQF6Dm_rVZbVDmmmN9FUclC/view?usp=drivesdk,https://drive.google.com/thumbnail?id=1tAsZ6inrpMswKVV_kP0OH9_9ScMRYZOL&sz=w1000
119,BRIXOL ROSA,LG-MSB-002,limpieza-general,15,"Limpiador neutro bioalcohol. Desengrasante, Apto para Uso en Industria Alimentaria.",Limpieza General,Mantenimiento de Suelos (Gama Brixol),https://drive.google.com/file/d/1BqKCai4OdRGZUdni7A0hPkNEc21D6MJI/view?usp=drivesdk,https://drive.google.com/file/d/1FoWRybM0G5x5YCdDkxJEpRpAjh3Szsqj/view?usp=drivesdk,https://drive.google.com/thumbnail?id=1hJ5UV6GLQBUhc1EEiZJ4KvxqYvBYHMjB&sz=w1000
120,BRIXOL AMONIACAL,LG-MSB-003,limpieza-general,15,"Limpiador amoniacal bioalcohol. No deja residuos ni marcas, Apto para Uso en Industria Alimentaria.",Limpieza General,Mantenimiento de Suelos (Gama Brixol),https://drive.google.com/file/d/1GxTCVhGu2nq1TLnkYPchKL1w2qkieiB5/view?usp=drivesdk,https://drive.google.com/file/d/1mTC3ATBHBMektkNNIj9p3AnAOWMCdFuF/view?usp=drivesdk,https://drive.google.com/thumbnail?id=1t3FNxgyylW0wGXgTeMfO6PC23jGmymn-&sz=w1000
121,BRIXOL ORIGINAL,LG-MSB-004,limpieza-general,15,"Limpiador neutro (aroma a moras). Bioalcoholes, Apto para Uso en Industria Alimentaria.",Limpieza General,Mantenimiento de Suelos (Gama Brixol),,,https://drive.google.com/thumbnail?id=1Ef9MgVoQML-T0d-h6ed8DWxFTzGYgFfj&sz=w1000
122,BRIXOL MARSEILLE,LG-MSB-005,limpieza-general,15,"Limpiador neutro marsella (detergente/perfume duradero). Bioalcoholes, Apto para Uso en Industria Alimentaria.",Limpieza General,Mantenimiento de Suelos (Gama Brixol),https://drive.google.com/file/d/1vz4rjcxGOdsBJb08ZeOSsLg85lWAeE5b/view?usp=drivesdk,,https://drive.google.com/thumbnail?id=1PFi_-y13j20gCWBPWM8eUuJ9OYj_XT9T&sz=w1000
123,BRIXOL LEMON,LG-MSB-006,limpieza-general,15,"Limpiador neutro cítrico. Bioalcoholes, repelente de insectos, Apto para Uso en Industria Alimentaria.",Limpieza General,Mantenimiento de Suelos (Gama Brixol),https://drive.google.com/file/d/1qNesXnAq5lnfsDmAL9ZnTons-0KfqP0D/view?usp=drivesdk,https://drive.google.com/file/d/1jN5zDBVUbaHM5E6xE-uuyU3otYtmoAJH/view?usp=drivesdk,https://drive.google.com/thumbnail?id=1kDC26IfR1ZGjBlC8htqMFGkmjbptNtoj&sz=w1000
124,BRIXOL T107,LG-MSB-007,limpieza-general,16,"Limpiador perfumado extractos naturales. Efecto repelente contra insectos, Apto para Uso en Industria Alimentaria.",Limpieza General,Mantenimiento de Suelos (Gama Brixol),https://drive.google.com/file/d/1_ClJDLwo5jwAbq-85OEMjEbVaLbi5FG-/view?usp=drivesdk,https://drive.google.com/file/d/1VhtOpFOpgPGkrFYo_DSgDxhQalCSo3eU/view?usp=drivesdk,https://drive.google.com/thumbnail?id=1gmJ6_DQ7PdmgG5FtexGm3IOTIYssxWQj&sz=w1000
125,SPRING,LG-MSB-008,limpieza-general,17,"Limpiador bioalcohol (Label Free). pH neutro, bajo riesgo en manipulación.",Limpieza General,Mantenimiento de Suelos (Gama Brixol),https://drive.google.com/file/d/19u5QyiZdRkCo-J1lYDcs7oWQl54CbXd9/view?usp=drivesdk,https://drive.google.com/file/d/18sAdRHGnBKy2Pj4yy3HqRPZrIWFBexpZ/view?usp=drivesdk,https://drive.google.com/thumbnail?id=1eT6I1JQm2I-zj4tfwa3TvTsjkYXkek6O&sz=w1000
126,AMOX,LG-MSL-001,limpieza-general,18,"Detergente amoniacal concentrado. Alto poder desengrasante, Apto para Uso en Industria Alimentaria.",Limpieza General,Mantenimiento de Suelos (Limpiadores),https://drive.google.com/file/d/13A3_1RNa6_Nvgen1xw1aF4WjA3CTzI0F/view?usp=drivesdk,https://drive.google.com/file/d/1qkVD4TSgr16kYfMu-O5BsB9Byskvqm-Z/view?usp=drivesdk,https://drive.google.com/thumbnail?id=1-QPzzbnNRQm51Cgotv93hCRdx20qM7G-&sz=w1000
127,XENAX,LG-MSL-002,limpieza-general,17,Limpiador amoniacal. Apto para Uso en Industria Alimentaria.,Limpieza General,Mantenimiento de Suelos (Limpiadores),https://drive.google.com/file/d/1UhhfCUCaJP9yu2XzdvSJDpMkvHoKxqi_/view?usp=drivesdk,https://drive.google.com/file/d/12BibMwivAqezJl74LDGZYY-4NM-K0vQR/view?usp=drivesdk,https://drive.google.com/thumbnail?id=1Rl53AsgiJCjgmKkFouzW7iQA5DHNigdv&sz=w1000
128,OCEAN,LG-MSL-003,limpieza-general,20,Limpiador Superficies Ecolabel. Apto para Uso en Industria Alimentaria.,Limpieza General,Mantenimiento de Suelos (Limpiadores),https://drive.google.com/file/d/1Whp65rhCbd4a31A54YysJH52_0d9wKZ8/view?usp=drivesdk,https://drive.google.com/file/d/13P9DKSAfEkd0ck8YkKCI4O0DzLlZeXQ-/view?usp=drivesdk,https://drive.google.com/thumbnail?id=1FafASTkurWMQjFplpieaPcsb9j1I0bsD&sz=w1000
129,ECO FLOOR,LG-MSL-004,limpieza-general,21,Limpiador Superficies Ecolabel. Apto para Uso en Industria Alimentaria.,Limpieza General,Mantenimiento de Suelos (Limpiadores),https://drive.google.com/file/d/1XiTn_fikQKPOW5u4yQ9lqqhqOK2UCz3T/view?usp=drivesdk,https://drive.google.com/file/d/1wu52GbCC5b6SDWs4SASudRMKB9oxBwbU/view?usp=drivesdk,https://drive.google.com/thumbnail?id=1TQ7c4VPayL3Q4vzB3HHsfrnIEWRL95QO&sz=w1000
130,DETERPIN,LG-MSL-005,limpieza-general,16,"Detergente multiusos. Elimina grasas, Apto para Uso en Industria Alimentaria.",Limpieza General,Mantenimiento de Suelos (Limpiadores),https://drive.google.com/file/d/1weuYGpjhRt_Q88FZZUGGN8ZFUa9VoThQ/view?usp=drivesdk,https://drive.google.com/file/d/1n4gRpVEAtyCxNGSWgOs2aBMMADY6R4PJ/view?usp=drivesdk,https://drive.google.com/thumbnail?id=1YMB5ySy1MjN8S3pB-bWJHY6tYqQPTcYm&sz=w1000
131,DEXOL,LG-MSL-006,limpieza-general,22,"Limpiador Desinfectante. Bactericida, fungicida, viricida, Apto para Uso en Industria Alimentaria.",Limpieza General,Mantenimiento de Suelos (Limpiadores),https://drive.google.com/file/d/1fzx4byrbdKGvjWdLT6aa3IPvkcpkpODn/view?usp=drivesdk,https://drive.google.com/file/d/1nopkCdq25QYNAlciCnLG3-YoJQpmiTuf/view?usp=drivesdk,https://drive.google.com/thumbnail?id=1qRKq9oUPcJ4kaUIiK5OuJ8UYS1AzER3o&sz=w1000
132,FRESC,LG-MSL-007,limpieza-general,23,"Detergente desinfectante (pH neutro). Viricida, Apto para Uso en Industria Alimentaria, N° DGSP 19-20-06469/20-20-06400-HA.",Limpieza General,Mantenimiento de Suelos (Limpiadores),https://drive.google.com/file/d/1rdmwdmT41_AxWHevkxa5isp5LnQSR4Xd/view?usp=drivesdk,https://drive.google.com/file/d/10QYrCBHTArw2htTGa-OLasAhSRlguQPH/view?usp=drivesdk,https://drive.google.com/thumbnail?id=1PvcMua9eRGYVj9v_SezeIRzPY_F4dBb6&sz=w1000
133,DECLORNET,LG-MSL-008,limpieza-general,24,"Limpiador superficies clorado. Desinfectante, Apto para Uso en Industria Alimentaria, N° DGSP 17-20/40-03288. 17-20/40-03288-HA.",Limpieza General,Mantenimiento de Suelos (Limpiadores),https://drive.google.com/file/d/1jWmdO-Yg1Dmd4mRQ4pVV3gBjhAXIg1N1/view?usp=drivesdk,https://drive.google.com/file/d/1DEmrYf_8jT-Zel6i4c4CXbzOELX-VEUu/view?usp=drivesdk,https://drive.google.com/thumbnail?id=1wgDfhYIPyi9CeF5v6EDdPFbD5Nd0hYnv&sz=w1000
134,LISEC,LG-MSEC-001,limpieza-general,19,"Limpiador espuma controlada. Para fregadoras automáticas, Apto para Uso en Industria Alimentaria.",Limpieza General,Mantenimiento de Suelos (Espuma Controlada),https://drive.google.com/file/d/1OY6dGkpxoVUB5wLEynDsNVY_QaK0fRxf/view?usp=drivesdk,https://drive.google.com/file/d/1tlc98xwz0gS9uvFC-Pkx73xh9Blyt7Dn/view?usp=drivesdk,https://drive.google.com/thumbnail?id=1AnRiof7cRmpmG0b2C9sYWkff_xlhZkdz&sz=w1000
135,LISEC S/P,LG-MSEC-002,limpieza-general,19,"Limpiador espuma controlada sin perfume. Para fregadoras automáticas, Apto para Uso en Industria Alimentaria.",Limpieza General,Mantenimiento de Suelos (Espuma Controlada),https://drive.google.com/file/d/19fEn2bWGDb-op8Q98RVJnbi8kS8UsCd2/view?usp=drivesdk,https://drive.google.com/file/d/1gO32nMGVazDKvKmhoo_lUKzfF9KdGZqU/view?usp=drivesdk,https://drive.google.com/thumbnail?id=1l7IttPQz7aXFfc7OOLu3XauYaP5yX4J4&sz=w1000
136,ECO CITTRIC,LG-MSEC-003,limpieza-general,22,"Limpiador Ecolabel sin espuma. Para fregadoras automáticas, Apto para Uso en Industria Alimentaria.",Limpieza General,Mantenimiento de Suelos (Espuma Controlada),https://drive.google.com/file/d/1bFyKYvWgyBRnJIvuDcThAEbuoGUqjKxR/view?usp=drivesdk,https://drive.google.com/file/d/1gpDjS5zUytx9Ykw3ne1tNK7AfGUjDZqC/view?usp=drivesdk,https://drive.google.com/thumbnail?id=1NtNlZNdidMZdLoa95WZSiwMEMPjCKJBR&sz=w1000
137,GRASMAK,LG-MSEC-004,limpieza-general,26,"Desengrasante desinfectante de baja espuma. Para fregadoras automáticas, Viricida, Apto para Uso en Industria Alimentaria, N° DGSP 22-20/40-11772.",Limpieza General,Mantenimiento de Suelos (Espuma Controlada),https://drive.google.com/file/d/1E4w5YSB9kMQszaJ6Pi7AN_lJoz54h3XT/view?usp=drivesdk,/fichas-seguridad/GRASMAK FS ES (1).pdf,https://drive.google.com/thumbnail?id=1HhJgpl_Fabo5mxHDe3TfRrWmSHyJKXGz&sz=w1000
138,DENGRAS S/E,LG-MSEC-005,limpieza-general,25,"Desengrasante sin espuma (fregadoras automáticas). Apto para Máquina Fregadora, Apto para Uso en Industria Alimentaria.",Limpieza General,Mantenimiento de Suelos (Espuma Controlada),https://drive.google.com/file/d/13uM-klYNK9JIqrpe3TdvEb9l3hU3Lwgv/view?usp=drivesdk,https://drive.google.com/file/d/1oH38SBBKQ03YObTn-PFgzlrMwJ2Oenl3/view?usp=drivesdk,https://drive.google.com/thumbnail?id=1NUKj94Fsc-Pl9uruslnBB38xH4uLl3RI&sz=w1000
139,DENGRAS C S/E,LG-MSEC-006,limpieza-general,27,"Desengrasante concentrado sin espuma (fregadoras). Apto para Máquina Fregadora, Apto para Uso en Industria Alimentaria.",Limpieza General,Mantenimiento de Suelos (Espuma Controlada),https://drive.google.com/file/d/11Idia5dMnR0Qon9sRsir3bBewif1kLhz/view?usp=drivesdk,https://drive.google.com/file/d/1cWYp2ju8kmLWV7MK-vMiIjnop-MrjB3g/view?usp=drivesdk,https://drive.google.com/thumbnail?id=1gmGNMiyfpK7KyV7vte_XqZLRXQGsBNoI&sz=w1000
140,EFERCLOR,LG-MSE-001,limpieza-general,30,"Desinfectante universal clorado (comprimidos efervescentes). Amplio poder germicida, Apto para Uso en Industria Alimentaria, N° DGSP 21-20/40-05100.",Limpieza General,Mantenimiento de Suelos (Específicos),https://drive.google.com/file/d/18jKKoThEbZ8XIjNXJM42-vfL9qpcEqx4/view?usp=drivesdk,https://drive.google.com/file/d/1dZyEaZbsmZOXY_Z6cWWKgv8vZhh1GKwD/view?usp=drivesdk,https://drive.google.com/thumbnail?id=18wmCJjimpQ_G2HlKhFUnrXCmNQfTEPzS&sz=w1000
141,TAPIDUX,LG-MSE-002,limpieza-general,20,Champú limpiamoquetas. Elimina eficazmente la suciedad.,Limpieza General,Mantenimiento de Suelos (Específicos),https://drive.google.com/file/d/1wOIuUtbhrU2vOUS9pZQG3xl1IeL91CQW/view?usp=drivesdk,https://drive.google.com/file/d/1KGs0DKyPxDAsd2km9n8QTQrIi8_PG5QC/view?usp=drivesdk,https://drive.google.com/thumbnail?id=11DqbDCQX4qkHLasohgNdXCAHiyZxzr2T&sz=w1000
142,MOQUET S,LG-MSE-003,limpieza-general,22,Espuma seca moquetas y tapicerías. Limpiador desengrasante.,Limpieza General,Mantenimiento de Suelos (Específicos),https://drive.google.com/file/d/1qKbY0CxOHs0U-hErtKvlSwuYYtMFzeOP/view?usp=drivesdk,https://drive.google.com/file/d/1gQdhO76O1Sxc8pYdWG97WqD8fTG3DF0g/view?usp=drivesdk,https://drive.google.com/thumbnail?id=1o3F3AWYJhXKZG3etfo3cFpIVikRUlNRw&sz=w1000
143,JABA,LG-MSE-004,limpieza-general,25,Limpiador jabonoso madera y parqué. Nutre la madera.,Limpieza General,Mantenimiento de Suelos (Específicos),https://drive.google.com/file/d/1DFZZ4yo5hvrkE3Al42jep9zBJrMymWh8/view?usp=drivesdk,https://drive.google.com/file/d/1R5AmCLfnpAUQKBHT37C9m1VMXr3N2MUa/view?usp=drivesdk,https://drive.google.com/thumbnail?id=1NLyi0KZZxzNK1JDeyeC0EThNVS-YlZ8K&sz=w1000
144,MOPAXEL,LG-MSE-005,limpieza-general,18,Abrillantador de mopas. Captador de polvo.,Limpieza General,Mantenimiento de Suelos (Específicos),https://drive.google.com/file/d/18aFwqF49SnnuHQO_KDTN26zMNdv55tQJ/view?usp=drivesdk,https://drive.google.com/file/d/1xBcKHorhG1pmhrHWc44yK4K1sOlumJR-/view?usp=drivesdk,https://drive.google.com/thumbnail?id=1ReUbZxVgA9bDXO0e2ti7LEckEbgKG16z&sz=w1000
145,MOPAXEL SPRAY,LG-MSE-006,limpieza-general,19,Abrillantador de mopas spray. Captador de polvo.,Limpieza General,Mantenimiento de Suelos (Específicos),https://drive.google.com/file/d/1ypAGL730rIvkSa8rRaJx2q_HhvCBYOGo/view?usp=drivesdk,https://drive.google.com/file/d/1MX9nRA8PfFPpL-SkXG2iFNLnCe8-OHMb/view?usp=drivesdk,https://drive.google.com/thumbnail?id=1QRSFRHqtp8hFr70tmsq_MZgGkfv2K8pd&sz=w1000
146,CERAXEL,LG-MSE-007,limpieza-general,28,Renovador de suelos (ceras mixtas). Brillo duradero.,Limpieza General,Mantenimiento de Suelos (Específicos),https://drive.google.com/file/d/1OX4znv4fNeOZD1ZkYYQxkjQuOKNPA6PQ/view?usp=drivesdk,https://drive.google.com/file/d/1zS1EdCaCEkvnpeQeEauGVE6TO_vEBzB5/view?usp=drivesdk,https://drive.google.com/thumbnail?id=1pU_LxXWJz6pSyJtr8P7kNHuvqyT0evlP&sz=w1000
147,CRIST,LG-LSC-001,limpieza-general,12,Limpiacristales. Apto para Uso en Industria Alimentaria.,Limpieza General,Limpieza de Superficies (Limpiacristales),https://drive.google.com/file/d/1Fqt5mgUP01hFVYaIuNaZO8MZY6cfZTg9/view?usp=drivesdk,https://drive.google.com/file/d/1ljDRdqPTZZ7CTNAaxSvkDxYMoieik7OS/view?usp=drivesdk,https://drive.google.com/thumbnail?id=1b3MuQxYsf-4m2HsSreSHbs7ZyVkVraZ-&sz=w1000
148,GLASS,LG-LSC-002,limpieza-general,13,"Limpiacristales multiusos. Efecto anti-vaho, Apto para Uso en Industria Alimentaria.",Limpieza General,Limpieza de Superficies (Limpiacristales),https://drive.google.com/file/d/1m-xsLQfP03KkIhHY7e0o8A6Np4M0AtaH/view?usp=drivesdk,https://drive.google.com/file/d/1vBRatnn-svT7yWaG8F39IKwTqOePcT36/view?usp=drivesdk,https://drive.google.com/thumbnail?id=1-p4VgUlz4CMZbsuHb_C7KsHDZWUc0hpG&sz=w1000
149,TOPAZ,LG-LSC-003,limpieza-general,15,Detergente neutro multiusos Ecolabel. Apto para Uso en Industria Alimentaria.,Limpieza General,Limpieza de Superficies (Limpiacristales),https://drive.google.com/file/d/1kyGF_9GZECtJtawQbYvDN0dumcDTosUF/view?usp=drivesdk,https://drive.google.com/file/d/1gPYGOUdPtz2QwR-2NA4sZ4vJaqpjMmr2/view?usp=drivesdk,https://drive.google.com/thumbnail?id=1TbKtC8ukiogq6xUhiyG-IhCFKMFPuTjf&sz=w1000
150,ECO CRISS,LG-LSC-004,limpieza-general,16,Limpiacristales Ecolabel. Apto para Uso en Industria Alimentaria.,Limpieza General,Limpieza de Superficies (Limpiacristales),https://drive.google.com/file/d/1ThjgewCw0LbNa99QH59-XHpq7-ePHSXR/view?usp=drivesdk,https://drive.google.com/file/d/1dj7yig6t3nlHMrsBV5GYgPrJHZ69qr4p/view?usp=drivesdk,https://drive.google.com/thumbnail?id=1kiD7mDWUe3M3GY9EWtRyocgsgUlcQZz9&sz=w1000
151,MULTISOL,LG-LSL-001,limpieza-general,14,Limpiador multiusos. Apto para Uso en Industria Alimentaria.,Limpieza General,Limpieza de Superficies (Limpiadores),https://drive.google.com/file/d/1pj1UzDvam9-7vKGI8LnF0uYrlYRtXAhj/view?usp=drivesdk,https://drive.google.com/file/d/1FEwh2j6RSUChfd_C-hmFgy0zGQehezyE/view?usp=drivesdk,https://drive.google.com/thumbnail?id=1WgPVCrTn_ArLYqcKoYAkDUlSsHvSBt6Y&sz=w1000
152,SILK,LG-LSL-002,limpieza-general,15,"Multiusos ambientador. Bioalcoholes, Apto para Uso en Industria Alimentaria.",Limpieza General,Limpieza de Superficies (Limpiadores),,https://drive.google.com/file/d/1i0tyXJGbjyEz_KD97czP2zL_PIt8_aYv/view?usp=drivesdk,https://drive.google.com/thumbnail?id=1Myb3DS_oz6IAhUTZpYUkQkzJlANrnKvN&sz=w1000
153,LUX,LG-LSL-003,limpieza-general,17,Limpiador multiusos Ecolabel. Apto para Uso en Industria Alimentaria.,Limpieza General,Limpieza de Superficies (Limpiadores),https://drive.google.com/file/d/13EDh8E1X2e8WaOrlJ6jOaWycakR7ipGe/view?usp=drivesdk,https://drive.google.com/file/d/1OIdgBlwVPedQTbRVMFRpOM1cNZcLqiBB/view?usp=drivesdk,https://drive.google.com/thumbnail?id=1YFQfmB4ZhrKvD0nxGNowFwrjyOO9GnnS&sz=w1000
154,XEBAC,LG-LSL-004,limpieza-general,20,"Multiusos desinfectante (perfumado). Viricida, Apto para Uso en Industria Alimentaria, N° DGSP 21-20/40-10800.",Limpieza General,Limpieza de Superficies (Limpiadores),https://drive.google.com/file/d/16HnzbenUaeEDwj6R-SDbeux3-LTBMtGu/view?usp=drivesdk,https://drive.google.com/file/d/1PwXOtzY4hHdWUdiIO0ma6XiCKz6SIucK/view?usp=drivesdk,https://drive.google.com/thumbnail?id=17sTg2DGZf86-wtr4cPDtP24uiymWMvA7&sz=w1000
155,DESCOL,LG-LSL-005,limpieza-general,21,"Desinfectante hidroalcohólico. Viricida, Apto para Uso en Industria Alimentaria, N° DGSR 16-20/40/90-08635.",Limpieza General,Limpieza de Superficies (Limpiadores),https://drive.google.com/file/d/1wF2Hf0M6d5pbHAC0bW222D-0D3qODgSj/view?usp=drivesdk,https://drive.google.com/file/d/11LsGN3CLNRgDelP7xVMjmON_q9h__VwN/view?usp=drivesdk,https://drive.google.com/thumbnail?id=1zEWtzLVAVNv5QXj8elw8mtGTaPAamHBt&sz=w1000
